market,symbol,earliest_date,available_intervals,base_symbol
spot,USTCUSDT,2023-03-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",USTC
spot,GASUSDT,2023-03-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",GAS
spot,GLMUSDT,2023-03-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",GLM
spot,PROMUSDT,2023-03-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",PROM
spot,IDUSDT,2023-03-22,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ID
spot,ARBUSDT,2023-03-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ARB
spot,RDNTUSDT,2023-03-30,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",RDNT
spot,EDUUSDT,2023-04-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",EDU
spot,SUIUSDT,2023-05-03,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SUI
spot,SNTUSDT,2023-05-19,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SNT
spot,MAVUSDT,2023-06-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",MAV
spot,PENDLEUSDT,2023-07-03,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",PENDLE
